"Story","Title","Result","Date","Stability","Duration (s)"
"Autentikasi","POST - As a user i have to be able to register","SUCCESS","2022-05-18T07:58:19.7846201+07:00[Asia/Jakarta]","0.0","19.11"
"Autentikasi","POST - As a user i have to be able to login","SUCCESS","2022-05-18T07:58:38.9162257+07:00[Asia/Jakarta]","0.0","3.16"
"Categories","GET - As an user I have to be able to get all categories","SUCCESS","2022-05-18T07:58:19.5916079+07:00[Asia/Jakarta]","0.0","12.82"
"Categories","POST - As an admin i have to be able to create categories","SUCCESS","2022-05-18T07:58:32.433746+07:00[Asia/Jakarta]","0.0","1.55"
"Categories","POST - AS an admin i cannot input Null categories Name","SUCCESS","2022-05-18T07:58:34.275886+07:00[Asia/Jakarta]","0.0","1.11"
"Categories","POST - AS an admin i cannot input categories Name with number","SUCCESS","2022-05-18T07:58:35.4659756+07:00[Asia/Jakarta]","0.0","0.9"
"Comments","POST - As a user i have to be able to create a comment on a product","SUCCESS","2022-05-18T07:58:19.6186082+07:00[Asia/Jakarta]","0.0","12.62"
"Comments","GET - As a user I have to be able to get the comment","SUCCESS","2022-05-18T07:58:32.3377386+07:00[Asia/Jakarta]","0.0","1.28"
"Comments","POST - As a user I cannot input null comments on product","SUCCESS","2022-05-18T07:58:33.6468312+07:00[Asia/Jakarta]","0.0","0.69"
"Products","GET - As an user I have to be able to get all products","SUCCESS","2022-05-18T07:58:19.8696329+07:00[Asia/Jakarta]","0.0","12.52"
"Products","POST - As an admin i have to be able to create products","SUCCESS","2022-05-18T07:58:32.7437664+07:00[Asia/Jakarta]","0.0","1.19"
"Products","GET - As a user i have to be able to search product by id","SUCCESS","2022-05-18T07:58:33.9538574+07:00[Asia/Jakarta]","0.0","0.85"
"Products","GET - As a user i cannot get product which is the ID is not created","SUCCESS","2022-05-18T07:58:34.8489257+07:00[Asia/Jakarta]","0.0","0.74"
"Products","GET - As a user i cannot GET product with string input","SUCCESS","2022-05-18T07:58:35.674989+07:00[Asia/Jakarta]","0.0","0.55"
"Products","POST - As a user i cannot POST product Name with Number","SUCCESS","2022-05-18T07:58:36.2910348+07:00[Asia/Jakarta]","0.0","0.8"
"Products","POST - As a user i cannot POST product Name with Null","SUCCESS","2022-05-18T07:58:37.1080956+07:00[Asia/Jakarta]","0.0","0.51"
"Products","POST - As a user i cannot input price With String","SUCCESS","2022-05-18T07:58:37.6481324+07:00[Asia/Jakarta]","0.0","0.44"
"Ratings","As a user i want to see ratings of product","SUCCESS","2022-05-18T07:58:18.9635599+07:00[Asia/Jakarta]","0.0","13.25"
"Ratings","POST - As a user i want to give ratings on a product","SUCCESS","2022-05-18T07:58:32.8157717+07:00[Asia/Jakarta]","0.0","1.5"
"Ratings","POST-As a user i can put nothing on product rating","SUCCESS","2022-05-18T07:58:34.380889+07:00[Asia/Jakarta]","0.0","1.02"
"Ratings","POST - As a user i can give any character except number for product rating","SUCCESS","2022-05-18T07:58:35.5099773+07:00[Asia/Jakarta]","0.0","1.36"
