"Story","Title","Result","Date","Stability","Duration (s)"
"Autentikasi","POST - As a user i have to be able to register","SUCCESS","2022-05-20T09:44:55.1689778+07:00[Asia/Jakarta]","0.0","10.88"
"Autentikasi","POST - As a user i have to be able to login","SUCCESS","2022-05-20T09:45:06.0483112+07:00[Asia/Jakarta]","0.0","2.16"
"Categories","GET - As an user I have to be able to get all categories","SUCCESS","2022-05-20T09:44:55.0853338+07:00[Asia/Jakarta]","0.0","6.27"
"Categories","POST - As an admin i have to be able to create categories","SUCCESS","2022-05-20T09:45:01.386967+07:00[Asia/Jakarta]","0.0","0.38"
"Categories","POST - AS an admin i cannot input Null categories Name","SUCCESS","2022-05-20T09:45:01.7879546+07:00[Asia/Jakarta]","0.0","0.4"
"Categories","POST - AS an admin i cannot input categories Name with number","SUCCESS","2022-05-20T09:45:02.1850215+07:00[Asia/Jakarta]","0.0","0.36"
"Comments","POST - As a user i have to be able to create a comment on a product","SUCCESS","2022-05-20T09:44:55.0908318+07:00[Asia/Jakarta]","0.0","6.26"
"Comments","GET - As a user I have to be able to get the comment","SUCCESS","2022-05-20T09:45:01.4511473+07:00[Asia/Jakarta]","0.0","0.4"
"Comments","POST - As a user I cannot input null comments on product","SUCCESS","2022-05-20T09:45:01.8647945+07:00[Asia/Jakarta]","0.0","0.45"
"Products","GET - As an user I have to be able to get all products","SUCCESS","2022-05-20T09:44:55.0723317+07:00[Asia/Jakarta]","0.0","6.3"
"Products","POST - As an admin i have to be able to create products","SUCCESS","2022-05-20T09:45:01.4222624+07:00[Asia/Jakarta]","0.0","0.49"
"Products","GET - As a user i have to be able to search product by id","SUCCESS","2022-05-20T09:45:01.9370868+07:00[Asia/Jakarta]","0.0","0.49"
"Products","GET - As a user i cannot get product which is the ID is not created","SUCCESS","2022-05-20T09:45:02.4393473+07:00[Asia/Jakarta]","0.0","0.42"
"Products","GET - As a user i cannot GET product with string input","SUCCESS","2022-05-20T09:45:02.8717506+07:00[Asia/Jakarta]","0.0","0.36"
"Products","POST - As a user i cannot POST product Name with Number","SUCCESS","2022-05-20T09:45:03.2419883+07:00[Asia/Jakarta]","0.0","0.31"
"Products","POST - As a user i cannot POST product Name with Null","SUCCESS","2022-05-20T09:45:03.5483825+07:00[Asia/Jakarta]","0.0","0.34"
"Products","POST - As a user i cannot input price With String","SUCCESS","2022-05-20T09:45:03.8889173+07:00[Asia/Jakarta]","0.0","0.38"
"Ratings","As a user i want to see ratings of product","SUCCESS","2022-05-20T09:44:54.7653121+07:00[Asia/Jakarta]","0.0","6.64"
"Ratings","POST - As a user i want to give ratings on a product","SUCCESS","2022-05-20T09:45:01.5195978+07:00[Asia/Jakarta]","0.0","0.43"
"Ratings","POST-As a user i can put nothing on product rating","SUCCESS","2022-05-20T09:45:01.9659627+07:00[Asia/Jakarta]","0.0","0.44"
"Ratings","POST - As a user i can give any character except number for product rating","SUCCESS","2022-05-20T09:45:02.4069329+07:00[Asia/Jakarta]","0.0","0.43"
"Ratings","POST - As a user i cant give rating over 5","SUCCESS","2022-05-20T09:45:02.8509967+07:00[Asia/Jakarta]","0.0","0.38"
