"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Login scenario","SUCCESS","2022-05-18T08:31:41.0035802+07:00[Asia/Jakarta]","0.0","130.21"
"transaction","Logout","SUCCESS","2022-05-18T08:33:51.2440197+07:00[Asia/Jakarta]","0.0","11.84"
"Order","enter new product to cart","SUCCESS","2022-05-18T08:34:03.9307327+07:00[Asia/Jakarta]","0.0","9.52"
"Order","add product to cart","SUCCESS","2022-05-18T08:34:14.2861079+07:00[Asia/Jakarta]","0.0","10.09"
"Order","reduce product on cart","SUCCESS","2022-05-18T08:34:25.2635193+07:00[Asia/Jakarta]","0.0","11.68"
"Order","empty cart","SUCCESS","2022-05-18T08:34:37.801339+07:00[Asia/Jakarta]","0.0","9.17"
"Registration","Registration scenario","SUCCESS","2022-05-18T08:34:47.8824413+07:00[Asia/Jakarta]","0.0","160.84"
"transaction","buy product with login first","SUCCESS","2022-05-18T08:37:28.7343924+07:00[Asia/Jakarta]","0.0","9.13"
"transaction","buy product without login first","SUCCESS","2022-05-18T08:37:38.5605393+07:00[Asia/Jakarta]","0.0","8.53"
"transaction","buy product without register first","SUCCESS","2022-05-18T08:37:47.7625746+07:00[Asia/Jakarta]","0.0","9.86"
